code,fy,eps,bps,roe,debt,op_margin,net_margin,op_profit,revenue,dps
010950,202412,-1656.0,74692.0,-2.18,181.19,1.15,-0.53,4222.0,366370.0,125.0
010950,202512,1518.0,76339.0,2.01,198.82,0.69,0.52,2356.0,342470.0,330.0
024110,202312,3348.0,39698.0,8.79,1309.41,11.99,9.35,34323.0,286238.0,984.0
024110,202412,3316.0,42570.0,8.06,1279.51,11.08,8.19,35941.0,324300.0,1065.0
024110,202512,3400.0,45716.0,7.7,1258.51,12.51,9.31,36556.0,292172.0,1048.0
003670,202312,359.0,29410.0,1.19,142.57,0.75,0.09,359.0,47599.0,242.0
003670,202412,-2655.0,37162.0,-7.98,138.89,0.02,-6.25,7.0,36999.0,
003670,202512,386.0,45731.0,0.92,102.65,1.12,1.24,328.0,29387.0,250.0
035720,202312,-2276.0,22281.0,-10.26,81.69,6.1,-24.04,4609.0,75570.0,61.0
035720,202412,124.0,23100.0,0.56,84.85,6.3,-2.06,4953.0,78640.0,68.0
035720,202512,1110.0,25625.0,4.59,82.49,9.04,6.4,7320.0,80991.0,75.0
079550,202312,7953.0,48286.0,17.61,262.59,8.07,7.58,1864.0,23086.0,1950.0
079550,202412,9974.0,55488.0,19.4,389.91,6.82,6.49,2234.0,32763.0,2400.0
079550,202512,11516.0,65465.0,19.2,446.35,7.42,5.51,3194.0,43069.0,2950.0
086280,202312,14148.0,103405.0,14.52,89.17,6.05,4.17,15540.0,256832.0,3150.0
086280,202412,14585.0,116975.0,13.24,91.26,6.17,3.87,17529.0,284074.0,3700.0
086280,202512,23117.0,138016.0,18.13,78.92,7.01,5.87,20730.0,295664.0,5800.0
064350,202312,1475.0,15391.0,10.06,218.25,5.85,4.37,2100.0,35874.0,100.0
064350,202412,3728.0,18737.0,21.85,163.07,10.43,9.26,4566.0,43766.0,200.0
064350,202512,7055.0,28211.0,30.05,206.39,17.22,13.2,10056.0,58390.0,600.0
011070,202312,23881.0,199226.0,12.59,137.65,4.03,2.74,8308.0,206053.0,2610.0
011070,202412,18983.0,226240.0,8.92,112.52,3.33,2.12,7060.0,212008.0,2090.0
011070,202512,14419.0,243532.0,6.14,107.02,3.04,1.56,6650.0,218966.0,1880.0
000720,202312,4767.0,72383.0,6.77,126.81,2.65,2.21,7854.0,296514.0,600.0
000720,202412,-1500.0,71394.0,-2.09,179.29,-3.87,-2.34,-12634.0,326703.0,600.0
000720,202512,3320.0,73523.0,4.58,174.81,2.1,1.8,6530.0,310629.0,800.0
272210,202312,1849.0,11443.0,16.87,108.12,5.0,13.99,1226.0,24525.0,280.0
272210,202412,2405.0,13316.0,19.63,136.6,7.82,15.88,2193.0,28037.0,350.0
272210,202512,1282.0,25933.0,6.6,106.5,3.27,5.71,1199.0,36642.0,500.0
030200,202312,3887.0,67972.0,6.05,130.1,6.25,3.75,16498.0,263763.0,1960.0
030200,202412,1850.0,65942.0,2.85,132.71,3.06,1.58,8095.0,264312.0,2000.0
030200,202512,6869.0,73231.0,10.22,120.72,8.74,6.5,24691.0,282442.0,2400.0
