code,name,cap,price,per,pbr,eps,bps,div,cns_per,roe,debt,op_margin,op_growth,fy
006260,LS,9765600000000.0,313000.0,23.11,1.62,13543.0,193319.0,0.8,15.04,5.64,225.47,3.3,-0.018920682263025457,202512
028050,삼성E&A,9555000000000.0,50100.0,14.41,1.91,3383.0,25567.0,1.62,12.91,13.76,125.8,8.77,-0.18474680938657884,202512
047050,포스코인터내셔널,9271100000000.0,52500.0,11.19,1.28,4709.0,41034.0,3.51,10.08,9.27,140.03,3.6,0.006477802729314197,202512
090430,아모레퍼시픽,8809000000000.0,142400.0,36.36,1.86,4142.0,80855.0,0.82,27.89,4.41,26.49,7.9,0.5229024943310658,202512
180640,한진칼,8765900000000.0,126600.0,nan,2.64,-453.0,49695.0,0.27,nan,4.75,20.93,-2.52,-1.1524390243902438,202512
007660,이수페타시스,8280600000000.0,112800.0,41.2,9.64,2738.0,11703.0,0.2,30.54,29.64,70.53,18.82,1.0088321884200195,202512
161390,한국타이어앤테크놀로지,8225300000000.0,65600.0,6.78,0.6,9792.0,109979.0,3.46,6.4,9.39,87.63,8.68,0.044714293820575346,202512
047040,대우건설,8090800000000.0,20000.0,nan,2.14,-1362.0,9216.0,nan,14.47,-23.89,284.46,-10.12,-3.022823120813694,202512
016360,삼성증권,7903100000000.0,88300.0,6.53,0.97,13546.0,91465.0,4.52,4.6,13.09,887.64,9.25,0.14090230552330407,202512
352820,하이브,7759200000000.0,178500.0,nan,2.23,-8743.0,80633.0,0.28,41.19,-7.33,54.46,1.86,-0.7320652173913044,202512
009830,한화솔루션,7590100000000.0,33400.0,nan,0.66,-881.0,51067.0,nan,20.9,-7.01,196.32,-2.74,nan,202512
064400,LG씨엔에스,7344000000000.0,74400.0,15.25,2.41,4969.0,31447.0,2.44,15.57,17.35,79.68,9.0,0.07584324429713396,202512
039490,키움증권,7304600000000.0,279500.0,5.6,1.06,49724.0,263774.0,4.13,4.01,18.12,1107.51,8.69,0.3551265707521398,202512
000880,한화,7194100000000.0,130200.0,15.68,0.89,8601.0,151529.0,0.82,7.13,3.3,497.35,5.54,0.7163610777699598,202512
021240,코웨이,7105000000000.0,98300.0,10.5,1.84,9563.0,54488.0,1.95,9.88,18.14,93.71,17.7,0.10472718129243153,202512
326030,SK바이오팜,6891600000000.0,88000.0,17.19,6.74,5120.0,13047.0,nan,21.07,39.28,45.03,28.86,1.1173416407061265,202512
267270,HD건설기계,6546100000000.0,140600.0,10.55,1.33,12944.0,102911.0,0.4,11.11,5.74,86.64,4.52,-0.10241596638655459,202512
128940,한미약품,6520800000000.0,504000.0,30.04,4.6,16942.0,110632.0,0.39,25.34,14.52,50.23,16.66,0.19241443108233125,202512
377300,카카오페이,6405200000000.0,46900.0,72.96,3.25,649.0,14583.0,nan,47.64,2.4,173.7,5.25,nan,202512
032640,LG유플러스,6374900000000.0,14740.0,12.05,0.7,1246.0,21372.0,4.39,8.69,6.01,117.06,5.77,0.033599814621712465,202512
000100,유한양행,6250000000000.0,82700.0,29.01,2.66,2927.0,31931.0,0.71,40.2,8.81,36.35,4.77,0.901639344262295,202512
062040,산일전기,6205200000000.0,201500.0,34.27,9.33,5909.0,21710.0,0.62,29.03,29.21,16.48,35.59,0.6355311355311355,202512
000500,가온전선,6074600000000.0,211500.0,94.49,11.46,2159.0,17807.0,0.03,nan,10.96,184.82,3.11,0.76,202512
241560,두산밥캣,6048500000000.0,61900.0,12.14,0.77,5197.0,82108.0,2.69,10.75,5.71,70.77,7.8,-0.21264631627266473,202512
001440,대한전선,5821000000000.0,29800.0,nan,3.08,-82.0,9634.0,nan,60.74,5.48,114.0,3.54,0.11631944444444442,202512
066970,엘앤에프,5484300000000.0,129800.0,nan,6.85,-8250.0,19673.0,nan,-76.42,-76.95,363.06,-7.28,nan,202512
029780,삼성카드,5480100000000.0,46350.0,8.87,0.58,5332.0,82034.0,5.92,8.99,7.45,263.01,19.48,-0.03580302688050596,202512
175330,JB금융지주,5418500000000.0,28000.0,7.79,0.91,3731.0,31851.0,3.92,7.32,12.36,1084.16,20.57,0.05098774969650144,202512
353200,대덕전자,5317300000000.0,111300.0,36.45,5.67,2952.0,18963.0,0.47,24.01,5.37,31.28,4.61,3.345132743362832,202512
088350,한화생명,5167800000000.0,5480.0,6.98,0.3,852.0,19978.0,nan,4.57,6.51,974.0,4.18,0.04585232452142196,202512
010060,OCI홀딩스,5125000000000.0,276000.0,137.53,1.25,1996.0,220043.0,0.36,31.8,-2.27,66.35,-1.7,-1.567487684729064,202512
271560,오리온,5119000000000.0,126200.0,12.21,1.26,10602.0,102850.0,2.7,10.72,10.51,17.55,16.75,0.027041942604856484,202512
036570,NC,4847400000000.0,223000.0,7.85,1.24,28673.0,181808.0,0.51,10.38,10.79,28.56,1.07,nan,202512
034220,LG디스플레이,4810000000000.0,9590.0,nan,0.76,-2704.0,12602.0,nan,155.16,3.44,243.36,2.0,nan,202512
088980,맥쿼리인프라,4770100000000.0,9850.0,nan,nan,nan,nan,7.63,nan,,,,,
051900,LG생활건강,4762200000000.0,298500.0,nan,0.94,-4342.0,337569.0,0.63,23.37,-1.82,23.32,2.69,-0.6281045751633987,202512
052690,한전기술,4678100000000.0,126300.0,130.07,7.86,941.0,15580.0,1.1,80.85,14.2,41.7,6.83,-0.4992947813822285,202512
454910,두산로보틱스,4641100000000.0,73100.0,nan,14.1,-794.0,5079.0,nan,nan,-14.78,14.57,-180.34,nan,202512
011790,SKC,4528300000000.0,90100.0,nan,2.1,-20562.0,43545.0,nan,-14.92,-73.28,232.74,-16.58,nan,202512
001450,현대해상,4467000000000.0,48950.0,4.45,0.73,11772.0,71324.0,nan,4.02,20.6,877.79,6.96,0.013584117032392928,202512
004020,현대제철,4136800000000.0,31450.0,nan,0.2,-136.0,151227.0,1.61,37.76,-0.04,73.6,0.96,0.374294670846395,202512
000990,DB하이텍,4085100000000.0,95400.0,11.91,1.67,7886.0,56254.0,0.86,nan,12.52,33.36,19.85,0.45335429769392044,202512
